Age,Gender,Education,Department,Job_Role,business_travel,daily_rate,HourlyRate,DistanceFromHome,performance_rating,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,Attrition
33,Female,2,Research & Development,Research Director,Travel Frequently,515,98,1,3,15,14,8,12,0
35,Male,5,Sales,Sales Executive,Travel Frequently,853,71,18,4,9,8,1,8,0
35,Female,4,Research & Development,Laboratory Technician,Travel Rarely,1142,30,23,3,2,2,2,2,0
31,Male,4,Research & Development,Laboratory Technician,Travel Rarely,655,48,7,4,7,7,1,7,0
37,Male,4,Research & Development,Manufacturing Director,Travel Rarely,1115,51,1,3,7,5,0,7,0
32,Male,3,Research & Development,Manufacturing Director,Travel Rarely,427,33,1,4,9,8,7,8,0
38,Female,5,Research & Development,Laboratory Technician,Travel Frequently,653,50,29,3,10,3,9,9,0
50,Female,2,Research & Development,Research Director,Travel Rarely,989,43,7,3,27,3,13,8,0
59,Female,3,Sales,Sales Executive,Travel Rarely,1435,99,25,3,21,16,7,9,0
36,Female,3,Research & Development,Healthcare Representative,Travel Rarely,1223,59,8,3,17,14,12,8,0
55,Female,3,Research & Development,Manager,Travel Rarely,836,33,8,3,5,0,0,2,0
36,Male,3,Research & Development,Manufacturing Director,Travel Frequently,1195,95,11,3,6,5,0,3,0
45,Male,3,Research & Development,Research Scientist,Travel Rarely,1339,59,7,3,1,0,0,0,0
35,Male,3,Research & Development,Research Scientist,Travel Frequently,664,79,1,3,3,2,1,2,0
36,Male,3,Research & Development,Research Scientist,Travel Rarely,318,79,9,3,1,0,0,0,1
59,Female,1,Sales,Sales Executive,Travel Frequently,1225,57,1,3,4,3,1,3,0
29,Male,3,Research & Development,Research Scientist,Travel Rarely,1328,76,2,4,5,4,0,4,0
31,Male,4,Research & Development,Research Scientist,Travel Rarely,1082,87,1,3,1,1,1,0,0
32,Male,3,Research & Development,Research Scientist,Travel Rarely,548,66,1,3,10,4,0,9,0
36,Female,3,Research & Development,Laboratory Technician,Travel Rarely,132,55,6,3,1,0,0,0,0
31,Female,4,Research & Development,Manufacturing Director,Travel Rarely,746,61,8,4,11,7,1,8,0
35,Male,4,Sales,Sales Executive,Travel Rarely,776,32,1,3,15,13,2,8,0
45,Male,4,Research & Development,Research Director,Travel Rarely,193,52,6,3,0,0,0,0,0
37,Male,4,Research & Development,Research Director,Travel Rarely,397,30,7,3,5,2,0,2,0
46,Male,2,Human Resources,Human Resources,Travel Rarely,945,80,5,4,4,2,0,2,0
30,Male,1,Research & Development,Laboratory Technician,Travel Rarely,852,55,1,3,10,8,3,0,0
35,Male,3,Research & Development,Research Scientist,Travel Rarely,1214,30,1,3,6,4,0,4,0
55,Male,2,Sales,Sales Executive,Travel Rarely,111,70,1,3,1,0,1,0,0
38,Female,3,Research & Development,Research Scientist,Non-Travel,573,79,6,3,13,11,1,9,0
34,Male,2,Research & Development,Manufacturing Director,Travel Rarely,1153,94,1,3,5,2,1,3,0
56,Male,3,Research & Development,Manufacturing Director,Travel Rarely,1400,49,7,3,6,4,0,2,0
23,Male,1,Sales,Sales Representative,Travel Rarely,541,62,2,3,0,0,0,0,0
51,Male,4,Research & Development,Laboratory Technician,Travel Rarely,432,96,9,4,4,2,0,3,0
30,Male,3,Research & Development,Healthcare Representative,Travel Rarely,288,99,2,3,11,10,10,8,0
46,Male,2,Sales,Sales Executive,Travel Rarely,669,64,9,3,9,8,4,7,1
40,Male,4,Research & Development,Healthcare Representative,Travel Frequently,530,78,1,4,22,3,11,11,0
51,Male,4,Sales,Sales Executive,Travel Rarely,632,71,21,4,10,7,1,0,0
30,Female,2,Sales,Sales Executive,Travel Rarely,1334,63,4,3,11,8,2,7,0
46,Male,3,Research & Development,Healthcare Representative,Travel Frequently,638,40,1,3,10,9,9,5,0
32,Male,4,Sales,Sales Executive,Travel Rarely,1093,87,6,3,11,8,5,7,0
54,Female,4,Research & Development,Research Director,Travel Rarely,1217,60,2,3,4,3,0,3,0
24,Female,2,Sales,Sales Executive,Travel Rarely,1353,33,3,4,3,2,0,2,0
28,Male,3,Sales,Sales Executive,Non-Travel,120,43,4,3,5,4,0,4,0
58,Male,4,Sales,Sales Executive,Travel Rarely,682,37,10,3,37,10,1,8,0
44,Male,3,Research & Development,Laboratory Technician,Non-Travel,489,67,23,3,3,2,1,2,0
37,Male,4,Human Resources,Human Resources,Travel Rarely,807,63,6,4,3,2,0,2,1
32,Male,1,Research & Development,Research Scientist,Travel Rarely,827,71,1,3,1,0,0,0,0
20,Female,3,Research & Development,Laboratory Technician,Travel Frequently,871,66,6,3,1,0,1,0,1
34,Female,4,Research & Development,Research Scientist,Travel Rarely,665,41,6,3,16,13,2,10,0
37,Male,2,Research & Development,Healthcare Representative,Non-Travel,1040,100,2,3,1,0,0,0,0
59,Female,4,Human Resources,Manager,Non-Travel,1420,32,2,4,3,2,2,2,0
50,Female,3,Research & Development,Research Director,Travel Frequently,1115,73,1,3,8,3,0,7,0
25,Male,3,Sales,Sales Executive,Travel Rarely,240,46,5,3,6,4,0,3,1
25,Male,1,Research & Development,Research Scientist,Travel Rarely,1280,64,7,3,2,2,2,1,0
22,Female,3,Research & Development,Laboratory Technician,Travel Rarely,534,59,15,3,0,0,0,0,0
51,Female,4,Research & Development,Healthcare Representative,Travel Frequently,1456,30,1,4,13,12,12,8,0
34,Male,3,Research & Development,Laboratory Technician,Travel Frequently,658,66,7,4,9,7,0,6,1
54,Female,3,Human Resources,Manager,Non-Travel,142,30,26,3,5,3,4,4,0
24,Male,1,Research & Development,Laboratory Technician,Travel Rarely,1127,52,18,3,5,3,1,2,0
34,Female,4,Research & Development,Research Scientist,Travel Rarely,1031,45,6,3,1,0,0,0,0
37,Male,3,Sales,Sales Executive,Travel Rarely,1189,87,3,3,5,3,1,3,0
34,Female,3,Research & Development,Manager,Travel Rarely,1354,45,5,3,11,10,5,8,0
36,Female,2,Sales,Sales Executive,Travel Frequently,1467,92,11,3,9,7,2,8,0
36,Female,2,Research & Development,Laboratory Technician,Travel Rarely,922,39,3,4,1,0,0,0,0
43,Male,2,Sales,Manager,Travel Frequently,394,92,26,3,25,12,4,12,0
30,Male,3,Research & Development,Research Scientist,Travel Frequently,1312,96,23,4,10,7,0,9,0
33,Male,2,Sales,Sales Executive,Non-Travel,750,95,22,3,7,7,0,7,0
56,Female,4,Research & Development,Research Scientist,Travel Rarely,441,72,14,3,5,4,4,3,1
51,Male,3,Research & Development,Research Director,Travel Rarely,684,51,6,3,20,18,15,15,0
31,Male,4,Sales,Sales Executive,Travel Rarely,249,76,6,3,7,7,7,7,1
26,Female,3,Research & Development,Research Scientist,Travel Rarely,841,46,6,3,5,4,4,3,0
58,Female,4,Research & Development,Healthcare Representative,Travel Rarely,147,94,23,3,40,10,15,6,1
19,Male,1,Sales,Sales Representative,Travel Rarely,528,50,22,3,0,0,0,0,1
22,Male,1,Research & Development,Laboratory Technician,Travel Rarely,594,100,2,3,2,1,2,1,0
49,Female,4,Research & Development,Manufacturing Director,Travel Rarely,470,96,20,3,15,11,5,11,0
43,Female,3,Research & Development,Research Scientist,Travel Frequently,957,72,28,3,3,2,1,2,0
50,Female,3,Sales,Sales Executive,Travel Frequently,809,77,12,3,2,2,2,1,0
31,Female,3,Sales,Sales Executive,Travel Rarely,542,71,20,3,2,2,2,2,1
41,Male,1,Sales,Sales Executive,Travel Rarely,802,96,9,3,9,7,0,7,0
26,Female,1,Human Resources,Human Resources,Travel Rarely,1355,61,25,4,8,7,5,7,0
36,Male,2,Research & Development,Manufacturing Director,Travel Rarely,216,84,6,4,3,2,0,1,0
51,Male,4,Research & Development,Manufacturing Director,Travel Frequently,1150,53,8,3,4,2,0,3,1
39,Female,4,Sales,Sales Executive,Travel Rarely,1329,47,4,3,15,11,5,9,0
25,Male,3,Sales,Sales Executive,Travel Rarely,959,41,28,3,2,2,2,2,0
30,Male,3,Human Resources,Human Resources,Travel Rarely,1240,48,9,3,11,9,4,7,0
32,Female,3,Research & Development,Laboratory Technician,Travel Rarely,1033,41,9,4,5,4,0,4,1
45,Male,3,Research & Development,Research Scientist,Travel Rarely,1316,83,29,3,6,5,0,3,0
38,Female,5,Research & Development,Research Scientist,Travel Rarely,364,32,3,4,3,2,2,2,0
30,Female,3,Research & Development,Research Scientist,Travel Rarely,438,75,18,3,5,4,0,4,0
32,Male,2,Sales,Sales Executive,Travel Frequently,689,35,9,3,8,7,0,7,0
30,Female,3,Research & Development,Research Scientist,Travel Rarely,201,84,5,3,3,2,2,2,0
30,Male,1,Research & Development,Laboratory Technician,Travel Rarely,1427,35,2,3,5,3,1,2,0
41,Male,3,Research & Development,Manager,Travel Frequently,857,91,10,3,7,6,7,7,0
41,Male,4,Research & Development,Laboratory Technician,Travel Rarely,933,94,9,4,5,0,1,4,0
19,Female,1,Research & Development,Laboratory Technician,Travel Rarely,1181,79,3,3,1,0,0,0,0
40,Female,3,Research & Development,Research Scientist,Travel Frequently,1395,54,26,3,20,7,2,13,0
35,Male,5,Sales,Sales Executive,Travel Rarely,662,94,1,3,10,8,0,6,0
53,Male,2,Sales,Sales Representative,Travel Rarely,1436,34,6,4,7,7,4,5,0
45,Male,3,Research & Development,Laboratory Technician,Travel Rarely,194,60,9,3,17,9,0,15,0
32,Female,3,Sales,Sales Executive,Travel Frequently,967,43,8,3,9,8,3,7,0
29,Male,1,Research & Development,Manufacturing Director,Non-Travel,1496,41,1,3,10,7,0,9,0
51,Male,4,Research & Development,Manufacturing Director,Travel Rarely,1169,34,7,3,1,0,0,0,0
58,Female,3,Research & Development,Research Scientist,Travel Rarely,1145,75,9,4,1,0,0,0,0
40,Male,4,Sales,Sales Executive,Travel Rarely,630,67,4,3,12,11,2,11,0
34,Female,4,Sales,Sales Representative,Travel Frequently,303,75,2,3,4,3,1,2,0
22,Male,1,Research & Development,Research Scientist,Travel Rarely,1256,80,19,4,2,2,2,2,0
27,Male,3,Research & Development,Research Scientist,Non-Travel,691,57,9,3,2,2,2,2,0
28,Male,3,Research & Development,Research Scientist,Travel Rarely,440,42,21,3,5,2,0,2,0
57,Male,2,Research & Development,Healthcare Representative,Travel Rarely,334,83,24,3,5,3,1,4,0
27,Male,3,Research & Development,Research Scientist,Non-Travel,1450,79,3,3,1,1,0,1,0
50,Female,3,Research & Development,Manager,Travel Rarely,1452,53,11,3,5,4,4,4,0
41,Male,3,Research & Development,Research Scientist,Travel Rarely,465,56,14,3,9,8,1,8,0
30,Female,3,Sales,Sales Executive,Travel Rarely,1339,41,5,3,10,9,7,4,0
38,Female,4,Sales,Sales Executive,Travel Rarely,702,59,1,4,8,3,0,7,0
32,Male,5,Research & Development,Research Scientist,Travel Rarely,120,43,6,4,5,4,1,4,0
27,Male,3,Research & Development,Research Scientist,Travel Rarely,1157,51,17,3,5,2,1,1,0
19,Female,1,Sales,Sales Representative,Travel Frequently,602,100,1,4,0,0,0,0,1
36,Male,2,Research & Development,Laboratory Technician,Travel Frequently,1480,30,3,3,8,7,7,2,0
30,Male,3,Research & Development,Laboratory Technician,Non-Travel,111,66,9,3,12,9,6,10,0
45,Female,2,Sales,Sales Executive,Travel Rarely,1268,30,4,3,5,4,0,3,0
56,Female,3,Research & Development,Research Scientist,Travel Rarely,713,67,8,3,2,2,2,2,0
33,Male,3,Research & Development,Research Scientist,Travel Rarely,134,90,2,3,3,1,0,2,0
19,Male,3,Research & Development,Laboratory Technician,Travel Rarely,303,47,2,4,1,0,1,0,1
46,Female,2,Sales,Sales Executive,Travel Rarely,526,92,1,4,24,13,15,7,0
38,Female,2,Research & Development,Laboratory Technician,Travel Rarely,1380,75,9,3,2,2,2,1,0
31,Female,1,Research & Development,Research Scientist,Travel Rarely,140,95,12,4,4,2,0,2,0
34,Female,2,Research & Development,Research Scientist,Travel Rarely,629,95,27,3,3,2,1,2,0
41,Female,2,Sales,Sales Representative,Travel Rarely,1356,70,20,4,4,3,0,2,1
50,Male,3,Research & Development,Laboratory Technician,Travel Rarely,328,86,1,3,3,2,0,2,0
53,Female,2,Research & Development,Manufacturing Director,Travel Rarely,1084,57,13,3,4,2,1,3,0
33,Female,3,Research & Development,Research Scientist,Travel Rarely,931,72,14,3,8,7,1,6,0
40,Female,1,Research & Development,Manager,Travel Rarely,989,46,4,3,20,8,9,9,0
55,Male,4,Research & Development,Research Director,Travel Rarely,692,61,14,3,24,15,2,15,0
34,Male,1,Research & Development,Manufacturing Director,Travel Frequently,1069,45,2,3,10,9,1,9,0
51,Female,3,Research & Development,Healthcare Representative,Travel Rarely,313,98,3,3,7,7,1,0,0
52,Male,4,Research & Development,Manager,Travel Rarely,699,65,1,3,33,18,11,9,0
27,Female,3,Research & Development,Research Scientist,Travel Rarely,894,99,9,3,7,7,0,3,0
35,Male,2,Research & Development,Manufacturing Director,Travel Rarely,556,50,23,3,1,0,0,1,1
43,Male,3,Research & Development,Research Scientist,Non-Travel,1344,37,7,3,5,4,2,2,0
45,Male,2,Research & Development,Manager,Non-Travel,1195,65,2,4,20,8,11,8,0
37,Male,3,Research & Development,Research Scientist,Travel Rarely,290,65,21,3,8,7,1,7,0
35,Female,3,Research & Development,Laboratory Technician,Travel Frequently,138,37,2,3,6,2,1,2,0
42,Female,2,Research & Development,Manufacturing Director,Non-Travel,926,36,21,3,5,3,0,2,0
38,Male,4,Research & Development,Manufacturing Director,Travel Rarely,1261,88,2,3,1,0,0,0,0
38,Male,3,Research & Development,Manufacturing Director,Travel Rarely,1084,54,29,3,7,7,1,7,0
27,Male,1,Research & Development,Manufacturing Director,Travel Frequently,472,60,1,3,2,2,2,0,0
49,Male,4,Research & Development,Manufacturing Director,Non-Travel,1002,92,18,3,7,7,1,7,0
34,Male,4,Research & Development,Research Scientist,Travel Frequently,878,43,10,3,5,3,2,0,0
40,Male,2,Research & Development,Laboratory Technician,Travel Rarely,905,99,19,3,7,2,3,7,0
38,Male,1,Research & Development,Healthcare Representative,Travel Rarely,1180,70,29,3,1,0,0,0,1
29,Female,3,Sales,Sales Executive,Travel Rarely,121,35,27,4,10,4,1,9,1
22,Male,3,Research & Development,Research Scientist,Travel Rarely,1136,60,5,3,4,2,2,2,0
36,Female,1,Research & Development,Laboratory Technician,Travel Frequently,635,73,18,3,8,1,1,7,0
40,Male,5,Research & Development,Healthcare Representative,Non-Travel,1151,63,9,3,3,2,0,2,0
46,Male,4,Research & Development,Healthcare Representative,Travel Rarely,644,97,1,3,4,2,0,3,0
32,Male,4,Sales,Sales Executive,Travel Rarely,1045,32,4,3,14,8,9,8,1
30,Male,1,Research & Development,Manufacturing Director,Non-Travel,829,88,1,4,11,8,5,8,0
27,Female,3,Sales,Sales Executive,Travel Frequently,1242,90,20,3,7,7,0,7,0
51,Male,4,Research & Development,Research Director,Travel Rarely,1469,81,8,3,10,9,4,7,0
30,Female,3,Research & Development,Research Scientist,Travel Rarely,1005,88,3,3,5,2,0,4,1
41,Female,3,Sales,Manager,Travel Rarely,896,75,6,3,1,0,0,0,0
30,Female,4,Sales,Sales Executive,Travel Frequently,334,52,26,3,6,3,0,1,1
29,Male,3,Research & Development,Research Scientist,Travel Rarely,992,85,1,3,6,2,1,5,1
45,Female,3,Sales,Sales Executive,Non-Travel,1052,57,6,3,19,7,12,8,0
54,Female,3,Sales,Sales Executive,Travel Rarely,1147,52,3,3,6,2,0,5,0
36,Male,2,Research & Development,Laboratory Technician,Travel Rarely,1396,62,5,3,13,11,3,7,0
33,Female,4,Research & Development,Research Scientist,Travel Rarely,147,47,4,4,3,2,1,1,0
37,Male,3,Research & Development,Research Director,Travel Frequently,663,47,11,3,10,8,0,7,0
38,Male,3,Sales,Sales Executive,Travel Rarely,119,76,3,3,16,10,5,13,0
31,Male,4,Research & Development,Manufacturing Director,Non-Travel,979,90,1,3,5,4,1,4,0
59,Male,3,Research & Development,Research Scientist,Travel Rarely,142,70,3,3,1,0,0,0,0
37,Male,4,Sales,Sales Representative,Travel Frequently,319,41,4,3,9,8,5,8,0
29,Female,1,Sales,Sales Executive,Travel Frequently,1413,42,1,3,11,10,4,1,0
35,Female,3,Sales,Sales Executive,Travel Frequently,944,92,1,3,10,7,0,8,0
29,Male,1,Research & Development,Research Scientist,Travel Rarely,896,86,18,3,4,3,0,1,1
52,Female,3,Research & Development,Laboratory Technician,Travel Rarely,1323,89,2,3,2,2,2,2,0
42,Male,2,Research & Development,Manager,Travel Rarely,532,58,4,3,22,17,11,15,0
59,Male,2,Human Resources,Human Resources,Travel Rarely,818,52,6,3,2,2,2,2,0
50,Female,4,Sales,Manager,Travel Rarely,854,68,1,3,7,0,0,6,0
33,Male,3,Research & Development,Laboratory Technician,Travel Rarely,813,58,14,3,5,4,0,4,1
43,Female,3,Sales,Manager,Travel Rarely,1034,80,16,4,17,13,1,9,0
33,Female,2,Research & Development,Laboratory Technician,Travel Rarely,465,39,2,4,9,7,1,7,1
52,Male,4,Sales,Manager,Non-Travel,771,79,2,3,33,7,15,12,0
32,Female,2,Sales,Sales Representative,Travel Rarely,1401,56,4,3,4,3,1,2,0
32,Male,3,Research & Development,Laboratory Technician,Travel Rarely,515,62,1,3,3,2,1,2,1
39,Female,4,Research & Development,Laboratory Technician,Travel Rarely,1431,96,1,3,3,2,1,2,0
32,Male,4,Sales,Sales Executive,Non-Travel,976,100,26,3,3,2,2,2,0
41,Male,2,Research & Development,Research Scientist,Travel Rarely,1411,36,19,3,1,0,0,0,0
40,Male,2,Research & Development,Research Scientist,Travel Rarely,1300,62,24,3,9,8,4,7,0
45,Male,3,Research & Development,Manager,Travel Rarely,252,70,1,3,24,0,1,7,0
31,Male,4,Research & Development,Research Director,Travel Frequently,1327,73,3,3,2,2,2,2,0
33,Female,4,Research & Development,Research Scientist,Travel Rarely,832,63,5,3,2,2,0,2,0
34,Male,4,Research & Development,Manufacturing Director,Travel Rarely,470,84,2,3,11,9,5,9,0
37,Female,2,Research & Development,Research Scientist,Travel Rarely,1017,83,1,3,3,1,0,2,0
45,Male,4,Research & Development,Manufacturing Director,Travel Frequently,1199,77,7,3,3,2,0,2,0
37,Male,3,Research & Development,Manufacturing Director,Travel Frequently,504,61,10,3,1,0,0,0,1
39,Female,4,Research & Development,Healthcare Representative,Travel Frequently,505,64,2,4,19,6,11,8,0
29,Male,3,Research & Development,Research Scientist,Travel Rarely,665,60,15,3,6,5,1,5,0
42,Female,2,Research & Development,Research Scientist,Travel Rarely,916,82,17,3,3,2,0,2,0
29,Male,2,Sales,Sales Executive,Travel Rarely,1247,45,20,3,3,2,0,2,0
25,Female,3,Research & Development,Manufacturing Director,Travel Rarely,685,62,1,3,4,2,1,2,0
42,Female,3,Research & Development,Laboratory Technician,Travel Rarely,269,56,2,3,9,6,7,8,0
40,Male,2,Research & Development,Research Director,Travel Rarely,1416,49,2,3,21,7,3,9,0
51,Male,3,Research & Development,Research Scientist,Travel Rarely,833,96,1,3,1,0,0,0,0
31,Male,2,Research & Development,Laboratory Technician,Travel Frequently,307,71,29,3,5,4,1,4,1
32,Male,3,Research & Development,Laboratory Technician,Travel Frequently,1311,100,7,4,5,1,0,3,0
38,Male,2,Sales,Sales Executive,Non-Travel,1327,39,2,3,8,7,7,5,0
32,Male,1,Research & Development,Laboratory Technician,Travel Rarely,128,84,2,3,6,2,0,4,0
46,Female,3,Sales,Manager,Travel Rarely,488,75,2,3,7,7,7,7,0
28,Male,4,Research & Development,Laboratory Technician,Travel Rarely,529,79,2,3,0,0,0,0,1
29,Male,3,Sales,Sales Executive,Travel Rarely,1210,78,2,3,0,0,0,0,0
31,Male,3,Research & Development,Healthcare Representative,Travel Rarely,1463,64,23,4,9,0,7,8,0
25,Male,2,Research & Development,Healthcare Representative,Non-Travel,675,85,5,3,6,3,1,5,0
45,Male,2,Research & Development,Healthcare Representative,Travel Rarely,1385,79,20,3,20,7,4,10,0
36,Male,3,Research & Development,Laboratory Technician,Travel Rarely,1403,47,6,3,15,13,10,11,0
55,Male,3,Research & Development,Manager,Travel Rarely,452,81,1,3,36,10,4,13,0
47,Male,4,Research & Development,Manager,Non-Travel,666,88,29,3,10,7,9,9,1
28,Male,3,Research & Development,Research Scientist,Travel Rarely,1158,94,9,4,5,2,0,4,0
37,Male,4,Sales,Sales Executive,Travel Rarely,228,98,6,3,5,4,0,1,0
21,Male,2,Research & Development,Research Scientist,Travel Rarely,996,100,3,3,3,2,1,0,0
37,Female,4,Research & Development,Research Director,Non-Travel,728,80,1,3,5,2,0,2,0
35,Female,3,Research & Development,Manager,Travel Rarely,1315,71,22,3,7,7,6,2,0
38,Female,2,Sales,Sales Executive,Travel Rarely,322,44,7,4,8,0,7,7,0
26,Female,3,Research & Development,Manufacturing Director,Travel Frequently,1479,84,1,4,6,5,1,4,0
50,Male,1,Research & Development,Research Director,Travel Rarely,797,96,4,3,10,4,1,6,0
53,Male,4,Research & Development,Research Director,Travel Rarely,1070,45,3,3,5,3,1,3,0
42,Male,1,Sales,Sales Executive,Travel Rarely,635,99,1,4,20,16,11,6,0
29,Male,2,Sales,Sales Executive,Travel Frequently,442,44,2,3,10,7,0,9,0
55,Male,2,Research & Development,Laboratory Technician,Travel Rarely,147,37,20,3,10,7,0,8,0
26,Male,2,Research & Development,Healthcare Representative,Travel Frequently,496,60,11,3,5,3,3,3,0
37,Female,3,Research & Development,Research Scientist,Travel Rarely,1372,42,1,3,17,12,5,7,0
44,Male,3,Research & Development,Laboratory Technician,Travel Frequently,920,43,24,4,1,0,0,0,1
38,Male,4,Research & Development,Healthcare Representative,Travel Rarely,688,82,23,3,2,2,1,2,0
26,Male,4,Research & Development,Laboratory Technician,Travel Rarely,1449,45,16,3,3,2,0,2,1
28,Female,2,Research & Development,Research Scientist,Travel Rarely,1117,66,8,4,5,3,0,2,0
49,Female,4,Research & Development,Research Director,Travel Frequently,636,35,10,3,3,2,1,2,0
36,Male,3,Research & Development,Research Scientist,Travel Rarely,506,30,3,3,8,0,7,7,0
31,Female,3,Sales,Sales Representative,Travel Frequently,444,84,5,3,2,2,2,2,0
26,Male,4,Sales,Sales Executive,Travel Rarely,950,48,4,3,8,7,7,4,1
37,Male,3,Research & Development,Research Scientist,Travel Frequently,889,53,9,3,4,2,1,2,0
42,Female,3,Sales,Sales Executive,Travel Frequently,555,77,26,3,20,4,4,8,0
18,Male,3,Research & Development,Laboratory Technician,Travel Rarely,230,54,3,3,0,0,0,0,1
35,Male,3,Sales,Sales Executive,Travel Rarely,1232,96,16,3,11,9,6,9,0
36,Male,4,Research & Development,Laboratory Technician,Travel Frequently,566,81,18,3,1,0,0,0,0
